Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|Q04917|1433F_HUMAN	Q04917	1433F_HUMAN	YWHAH	246	Homo sapiens OX=9606	14-3-3 protein eta 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	4	9	0	2	3.30672544E8	0	6574691.0	N-term(42.0106)		
sp|Q05519|SRS11_HUMAN	Q05519	SRS11_HUMAN	SRSF11	484	Homo sapiens OX=9606	Serine/arginine-rich splicing factor 11 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	5643741.5	0	5643741.5			tr|Q5T760|Q5T760_HUMAN
sp|Q05639|EF1A2_HUMAN	Q05639	EF1A2_HUMAN	EEF1A2	463	Homo sapiens OX=9606	Elongation factor 1-alpha 2 	1:Experimental evidence at protein level	1.0000	0.9990	10	0	2	16	0	1	7.2255354E8	0	3005588.5			tr|A0A2U3TZH3|A0A2U3TZH3_HUMAN
sp|Q06033|ITIH3_HUMAN	Q06033	ITIH3_HUMAN	ITIH3	890	Homo sapiens OX=9606	Inter-alpha-trypsin inhibitor heavy chain H3 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	1	0	1	1.3550359E7	0	1.3550359E7			tr|A0A087WW43|A0A087WW43_HUMAN
sp|Q06124|PTN11_HUMAN	Q06124	PTN11_HUMAN	PTPN11	593	Homo sapiens OX=9606	Tyrosine-protein phosphatase non-receptor type 11 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	1435741.5	0	1435741.5	3M(15.9949)		
sp|Q06203|PUR1_HUMAN	Q06203	PUR1_HUMAN	PPAT	517	Homo sapiens OX=9606	Amidophosphoribosyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	2	1	2	1924397.2	870388.8	1924397.2			
sp|Q06210|GFPT1_HUMAN	Q06210	GFPT1_HUMAN	GFPT1	699	Homo sapiens OX=9606	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	5	0	5	4454884.0	0	4454884.0	4C(57.0214),7C(57.0214)		
sp|Q06265|EXOS9_HUMAN	Q06265	EXOS9_HUMAN	EXOSC9	439	Homo sapiens OX=9606	Exosome complex component RRP45 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	2093690.8	0	2093690.8	7C(57.0214)		tr|D6RIY6|D6RIY6_HUMAN
sp|Q06323|PSME1_HUMAN	Q06323	PSME1_HUMAN	PSME1	249	Homo sapiens OX=9606	Proteasome activator complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	10	5	10	12	7	12	2.3714536E7	1.9822124E7	2.3714536E7	9C(57.0214),4C(57.0214), 9C(57.0214),5M(15.9949)		
sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	Homo sapiens OX=9606	Peroxiredoxin-1 	1:Experimental evidence at protein level	1.0000	0.9990	16	0	16	26	0	26	3.22108736E8	0	3.22108736E8	15C(57.0214), 3C(57.0214),7M(15.9949),5C(57.0214),5C(57.0214),5M(15.9949)		
sp|Q07020|RL18_HUMAN	Q07020	RL18_HUMAN	RPL18	188	Homo sapiens OX=9606	60S ribosomal protein L18 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	11	0	11	1.11758528E8	0	1.11758528E8	2C(57.0214)		tr|G3V203|G3V203_HUMAN, tr|J3QQ67|J3QQ67_HUMAN
sp|Q07021|C1QBP_HUMAN	Q07021	C1QBP_HUMAN	C1QBP	282	Homo sapiens OX=9606	Complement component 1 Q subcomponent-binding protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	8	8	8	5986302.5	5986302.5	5986302.5			
sp|Q07065|CKAP4_HUMAN	Q07065	CKAP4_HUMAN	CKAP4	602	Homo sapiens OX=9606	Cytoskeleton-associated protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	5709651.5	5709651.5	5709651.5			
sp|Q07666|KHDR1_HUMAN	Q07666	KHDR1_HUMAN	KHDRBS1	443	Homo sapiens OX=9606	KH domain-containing, RNA-binding, signal transduction-associated protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	5	3	5	1.1740996E7	4242552.0	1.1740996E7	6M(15.9949),4M(15.9949)		
sp|Q07812|BAX_HUMAN	Q07812	BAX_HUMAN	BAX	192	Homo sapiens OX=9606	Apoptosis regulator BAX 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	1	1	1	1036614.6	246235.73	1036614.6			
sp|Q07866|KLC1_HUMAN	Q07866	KLC1_HUMAN	KLC1	573	Homo sapiens OX=9606	Kinesin light chain 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	3	0	3	1734132.8	0	1734132.8	8C(57.0214),6C(57.0214)		tr|E7EVH7|E7EVH7_HUMAN, tr|F8W6L3|F8W6L3_HUMAN, tr|G3V2E7|G3V2E7_HUMAN, tr|G3V3H3|G3V3H3_HUMAN, tr|G3V5R9|G3V5R9_HUMAN, tr|G5E9S8|G5E9S8_HUMAN
sp|Q07955|SRSF1_HUMAN	Q07955	SRSF1_HUMAN	SRSF1	248	Homo sapiens OX=9606	Serine/arginine-rich splicing factor 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	7	0	7	2.5009728E7	0	2.5009728E7			tr|J3KTL2|J3KTL2_HUMAN
sp|Q07960|RHG01_HUMAN	Q07960	RHG01_HUMAN	ARHGAP1	439	Homo sapiens OX=9606	Rho GTPase-activating protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	3	1	3	7502633.5	1691092.0	7502633.5			
sp|Q08170|SRSF4_HUMAN	Q08170	SRSF4_HUMAN	SRSF4	494	Homo sapiens OX=9606	Serine/arginine-rich splicing factor 4 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	1	3	0	2	3.4726688E7	0	8712014.0			tr|A0A0D9SEM4|A0A0D9SEM4_HUMAN
sp|Q08211|DHX9_HUMAN	Q08211	DHX9_HUMAN	DHX9	1270	Homo sapiens OX=9606	ATP-dependent RNA helicase A 	1:Experimental evidence at protein level	1.0000	0.9990	25	25	25	27	27	27	3.472216E7	3.472216E7	3.472216E7	4C(57.0214),9M(15.9949),12M(15.9949), 5C(57.0214),5C(57.0214),6C(57.0214),10C(57.0214),3M(15.9949)		
sp|Q08257|QOR_HUMAN	Q08257	QOR_HUMAN	CRYZ	329	Homo sapiens OX=9606	Quinone oxidoreductase 	1:Experimental evidence at protein level	1.0000	0.9989	4	1	4	3	1	3	7.3412256E7	868533.8	7.3412256E7			
sp|Q08945|SSRP1_HUMAN	Q08945	SSRP1_HUMAN	SSRP1	709	Homo sapiens OX=9606	FACT complex subunit SSRP1 	1:Experimental evidence at protein level	1.0000	0.9990	10	4	10	9	3	9	1.5026936E7	9798264.0	1.5026936E7	12C(57.0214),15C(57.0214), 18C(57.0214)		
sp|Q08J23|NSUN2_HUMAN	Q08J23	NSUN2_HUMAN	NSUN2	767	Homo sapiens OX=9606	RNA cytosine C(5)-methyltransferase NSUN2 	1:Experimental evidence at protein level	1.0000	0.9990	12	9	12	11	8	11	1.1916862E7	1.1916862E7	1.1916862E7	6M(15.9949),13M(15.9949), 3C(57.0214), 7C(57.0214),3C(57.0214), 7C(57.0214),9C(57.0214),5C(57.0214), 7M(15.9949)		
sp|Q09028|RBBP4_HUMAN	Q09028	RBBP4_HUMAN	RBBP4	425	Homo sapiens OX=9606	Histone-binding protein RBBP4 	1:Experimental evidence at protein level	1.0000	0.9990	5	1	2	5	1	2	3.527848E7	1584924.1	4033058.0	2M(15.9949), 7C(57.0214)		
sp|Q09161|NCBP1_HUMAN	Q09161	NCBP1_HUMAN	NCBP1	790	Homo sapiens OX=9606	Nuclear cap-binding protein subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	5903920.5	5903920.5	5903920.5	2C(57.0214)		
sp|Q09666|AHNK_HUMAN	Q09666	AHNK_HUMAN	AHNAK	5890	Homo sapiens OX=9606	Neuroblast differentiation-associated protein AHNAK 	1:Experimental evidence at protein level	1.0000	0.9990	72	71	72	71	71	71	1.26853768E8	1.26853768E8	1.26853768E8	4C(57.0214),6M(15.9949),3M(15.9949),3M(15.9949),3M(15.9949),3M(15.9949),6M(15.9949),2M(15.9949),3M(15.9949),3M(15.9949),3M(15.9949),3M(15.9949),3M(15.9949),3M(15.9949),3M(15.9949),13M(15.9949),3M(15.9949),3M(15.9949)		
sp|Q0VDF9|HSP7E_HUMAN	Q0VDF9	HSP7E_HUMAN	HSPA14	509	Homo sapiens OX=9606	Heat shock 70 kDa protein 14 	1:Experimental evidence at protein level	1.0000	0.9982	2	2	2	1	1	1	582828.0	582828.0	582828.0	5C(57.0214)		
sp|Q10471|GALT2_HUMAN	Q10471	GALT2_HUMAN	GALNT2	571	Homo sapiens OX=9606	Polypeptide N-acetylgalactosaminyltransferase 2 	1:Experimental evidence at protein level	1.0000	0.9989	4	4	4	3	3	3	5931906.5	5931906.5	5931906.5	7C(57.0214)		
sp|Q10567|AP1B1_HUMAN	Q10567	AP1B1_HUMAN	AP1B1	949	Homo sapiens OX=9606	AP-1 complex subunit beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	13	2	4	13	2	4	9749688.0	1447045.6	2705647.5			
sp|Q10570|CPSF1_HUMAN	Q10570	CPSF1_HUMAN	CPSF1	1443	Homo sapiens OX=9606	Cleavage and polyadenylation specificity factor subunit 1 	1:Experimental evidence at protein level	1.0000	0.9983	2	2	2	2	2	2	430749.25	430749.25	430749.25			
sp|Q10589|BST2_HUMAN	Q10589	BST2_HUMAN	BST2	180	Homo sapiens OX=9606	Bone marrow stromal antigen 2 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	1388846.0	1388846.0	1388846.0			
sp|Q10713|MPPA_HUMAN	Q10713	MPPA_HUMAN	PMPCA	525	Homo sapiens OX=9606	Mitochondrial-processing peptidase subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	2	1	2	3427829.8	2791219.5	3427829.8			
sp|Q12768|WASC5_HUMAN	Q12768	WASC5_HUMAN	WASHC5	1159	Homo sapiens OX=9606	WASH complex subunit 5 	1:Experimental evidence at protein level	1.0000	0.9989	1	0	1	2	0	2	118389.75	0	118389.75			
sp|Q12788|TBL3_HUMAN	Q12788	TBL3_HUMAN	TBL3	808	Homo sapiens OX=9606	Transducin beta-like protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	6	2	6	6	2	6	2885414.5	1045755.5	2885414.5	17C(57.0214),12C(57.0214), 14C(57.0214)		
sp|Q12792|TWF1_HUMAN	Q12792	TWF1_HUMAN	TWF1	350	Homo sapiens OX=9606	Twinfilin-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	4	0	4	7997538.5	0	7997538.5	N-term(42.0106)		
sp|Q12797|ASPH_HUMAN	Q12797	ASPH_HUMAN	ASPH	758	Homo sapiens OX=9606	Aspartyl/asparaginyl beta-hydroxylase 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	4	4	2	3	1.1931682E7	9036350.0	9036350.0			
sp|Q12849|GRSF1_HUMAN	Q12849	GRSF1_HUMAN	GRSF1	480	Homo sapiens OX=9606	G-rich sequence factor 1 	1:Experimental evidence at protein level	1.0000	0.9987	2	0	2	1	0	1	5044025.5	0	5044025.5	9C(57.0214)		tr|F5H5I6|F5H5I6_HUMAN, tr|H0Y8R1|H0Y8R1_HUMAN, tr|H0YAK1|H0YAK1_HUMAN
sp|Q12874|SF3A3_HUMAN	Q12874	SF3A3_HUMAN	SF3A3	501	Homo sapiens OX=9606	Splicing factor 3A subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	4	4	4	5675121.5	5675121.5	5675121.5	7C(57.0214)		
sp|Q12904|AIMP1_HUMAN	Q12904	AIMP1_HUMAN	AIMP1	312	Homo sapiens OX=9606	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	1	8	6	0	6	8758194.0	2200704.5	8758194.0	3C(57.0214)		
sp|Q12905|ILF2_HUMAN	Q12905	ILF2_HUMAN	ILF2	390	Homo sapiens OX=9606	Interleukin enhancer-binding factor 2 	1:Experimental evidence at protein level	1.0000	0.9990	10	0	10	13	0	13	2.6823966E7	0	2.6823966E7	3M(15.9949)		tr|B4DY09|B4DY09_HUMAN
sp|Q12906|ILF3_HUMAN	Q12906	ILF3_HUMAN	ILF3	894	Homo sapiens OX=9606	Interleukin enhancer-binding factor 3 	1:Experimental evidence at protein level	1.0000	0.9990	13	7	13	16	9	16	3.0278652E7	2.8128554E7	3.0278652E7	5M(15.9949),9M(15.9949),4M(15.9949),4M(15.9949),1C(57.0214)		
sp|Q12907|LMAN2_HUMAN	Q12907	LMAN2_HUMAN	LMAN2	356	Homo sapiens OX=9606	Vesicular integral-membrane protein VIP36 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	4	0	4	1.1148059E7	0	1.1148059E7	2C(57.0214)		
sp|Q12931|TRAP1_HUMAN	Q12931	TRAP1_HUMAN	TRAP1	704	Homo sapiens OX=9606	Heat shock protein 75 kDa, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	16	3	16	15	3	15	1.7739878E7	8790645.0	1.7739878E7	8M(15.9949),6C(57.0214),6C(57.0214),13M(15.9949), 7M(15.9949)		
sp|Q12933|TRAF2_HUMAN	Q12933	TRAF2_HUMAN	TRAF2	501	Homo sapiens OX=9606	TNF receptor-associated factor 2 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	0	0	0	9C(57.0214)		
sp|Q12965|MYO1E_HUMAN	Q12965	MYO1E_HUMAN	MYO1E	1108	Homo sapiens OX=9606	Unconventional myosin-Ie 	1:Experimental evidence at protein level	1.0000	0.9990	10	5	10	7	4	7	4331071.0	3895489.0	4331071.0	3C(57.0214)		
sp|Q13011|ECH1_HUMAN	Q13011	ECH1_HUMAN	ECH1	328	Homo sapiens OX=9606	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	2	6	5	2	5	1.012434E7	1398006.9	1.012434E7	2C(57.0214)		
sp|Q13045|FLII_HUMAN	Q13045	FLII_HUMAN	FLII	1269	Homo sapiens OX=9606	Protein flightless-1 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	2	1	2	857302.0	384384.84	857302.0	4C(57.0214)		
sp|Q13057|COASY_HUMAN	Q13057	COASY_HUMAN	COASY	564	Homo sapiens OX=9606	Bifunctional coenzyme A synthase 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	3	1	3	2928851.8	928311.06	2928851.8			
sp|Q13085|ACACA_HUMAN	Q13085	ACACA_HUMAN	ACACA	2346	Homo sapiens OX=9606	Acetyl-CoA carboxylase 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	463628.0	0	463628.0			
sp|Q13098|CSN1_HUMAN	Q13098	CSN1_HUMAN	GPS1	491	Homo sapiens OX=9606	COP9 signalosome complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	3	0	3	4344502.0	0	4344502.0	14M(15.9949),8C(57.0214)		tr|A0A096LP07|A0A096LP07_HUMAN, tr|A0A096LPJ3|A0A096LPJ3_HUMAN, tr|A8K070|A8K070_HUMAN, tr|C9JFE4|C9JFE4_HUMAN
sp|Q13123|RED_HUMAN	Q13123	RED_HUMAN	IK	557	Homo sapiens OX=9606	Protein Red 	1:Experimental evidence at protein level	1.0000	0.9988	2	1	2	2	1	2	1017029.0	592611.9	1017029.0			
sp|Q13126|MTAP_HUMAN	Q13126	MTAP_HUMAN	MTAP	283	Homo sapiens OX=9606	S-methyl-5'-thioadenosine phosphorylase 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	4	0	4	1.3460736E7	0	1.3460736E7	13C(57.0214), 4C(57.0214),12C(57.0214), 3C(57.0214),2M(15.9949)		
sp|Q13144|EI2BE_HUMAN	Q13144	EI2BE_HUMAN	EIF2B5	721	Homo sapiens OX=9606	Translation initiation factor eIF-2B subunit epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	1015832.25	0	1015832.25			tr|A0A3B3IUB1|A0A3B3IUB1_HUMAN
sp|Q13148|TADBP_HUMAN	Q13148	TADBP_HUMAN	TARDBP	414	Homo sapiens OX=9606	TAR DNA-binding protein 43 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	1.1115221E7	0	1.1115221E7			
sp|Q13151|ROA0_HUMAN	Q13151	ROA0_HUMAN	HNRNPA0	305	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein A0 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	2	2	2	2.1130312E7	2.1130312E7	2.1130312E7			
sp|Q13155|AIMP2_HUMAN	Q13155	AIMP2_HUMAN	AIMP2	320	Homo sapiens OX=9606	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	3	0	3	6452653.5	0	6452653.5	2C(57.0214),7C(57.0214),6M(15.9949), 7C(57.0214)		
sp|Q13162|PRDX4_HUMAN	Q13162	PRDX4_HUMAN	PRDX4	271	Homo sapiens OX=9606	Peroxiredoxin-4 	1:Experimental evidence at protein level	1.0000	0.9990	11	1	8	14	1	8	7.0181992E7	2634949.0	1.7513174E7	6C(57.0214)		
sp|Q13177|PAK2_HUMAN	Q13177	PAK2_HUMAN	PAK2	524	Homo sapiens OX=9606	Serine/threonine-protein kinase PAK 2 	1:Experimental evidence at protein level	1.0000	0.9990	9	3	9	5	2	5	6978962.5	6978962.5	6978962.5	10M(15.9949)		
sp|Q13190|STX5_HUMAN	Q13190	STX5_HUMAN	STX5	355	Homo sapiens OX=9606	Syntaxin-5 	1:Experimental evidence at protein level	1.0000	0.9979	1	0	1	1	0	1	0	0	0			tr|E9PNU4|E9PNU4_HUMAN, tr|H7C3X5|H7C3X5_HUMAN
sp|Q13200|PSMD2_HUMAN	Q13200	PSMD2_HUMAN	PSMD2	908	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	14	7	14	12	7	12	8287244.0	7536469.0	8287244.0	8C(57.0214),7M(15.9949),7C(57.0214)		
sp|Q13228|SBP1_HUMAN	Q13228	SBP1_HUMAN	SELENBP1	472	Homo sapiens OX=9606	Methanethiol oxidase 	1:Experimental evidence at protein level	1.0000	0.9990	5	2	5	5	2	5	2928812.5	1090092.1	2928812.5	8C(57.0214)		
sp|Q13242|SRSF9_HUMAN	Q13242	SRSF9_HUMAN	SRSF9	221	Homo sapiens OX=9606	Serine/arginine-rich splicing factor 9 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	1	1	0	1	5517027.5	0	2447081.0			
sp|Q13247|SRSF6_HUMAN	Q13247	SRSF6_HUMAN	SRSF6	344	Homo sapiens OX=9606	Serine/arginine-rich splicing factor 6 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	4	0	4	3.3545894E7	0	3.3545894E7			tr|A0A590UJK4|A0A590UJK4_HUMAN, tr|A0A590UJP7|A0A590UJP7_HUMAN, tr|A0A590UK01|A0A590UK01_HUMAN, tr|A0A590UK80|A0A590UK80_HUMAN
sp|Q13263|TIF1B_HUMAN	Q13263	TIF1B_HUMAN	TRIM28	835	Homo sapiens OX=9606	Transcription intermediary factor 1-beta 	1:Experimental evidence at protein level	1.0000	0.9990	11	2	11	15	2	15	2.2426384E7	1.5622518E7	2.2426384E7	16M(15.9949),12M(15.9949),7M(15.9949),N-term(42.0106),8M(15.9949),11C(57.0214), 16C(57.0214), 8C(57.0214)		
sp|Q13283|G3BP1_HUMAN	Q13283	G3BP1_HUMAN	G3BP1	466	Homo sapiens OX=9606	Ras GTPase-activating protein-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	10	0	10	14	0	14	4.4286484E7	0	4.4286484E7	9C(57.0214),2M(15.9949), 9C(57.0214),9C(57.0214),2M(15.9949),12M(15.9949),8M(15.9949)		
sp|Q13310|PABP4_HUMAN	Q13310	PABP4_HUMAN	PABPC4	644	Homo sapiens OX=9606	Polyadenylate-binding protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	15	0	8	14	0	8	6.656436E7	0	3.5665044E7	8M(15.9949)		tr|A0A7I2V4L7|A0A7I2V4L7_HUMAN, tr|B1ANR0|B1ANR0_HUMAN
sp|Q13347|EIF3I_HUMAN	Q13347	EIF3I_HUMAN	EIF3I	325	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit I 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	7	7	0	7	1.6028261E7	0	1.6028261E7	11C(57.0214),11C(57.0214)		tr|A0A7I2YQF8|A0A7I2YQF8_HUMAN
sp|Q13404|UB2V1_HUMAN	Q13404	UB2V1_HUMAN	UBE2V1	147	Homo sapiens OX=9606	Ubiquitin-conjugating enzyme E2 variant 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	1.3706806E7	0	1.3706806E7			
sp|Q13405|RM49_HUMAN	Q13405	RM49_HUMAN	MRPL49	166	Homo sapiens OX=9606	39S ribosomal protein L49, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	1241064.6	0	1241064.6			
sp|Q13423|NNTM_HUMAN	Q13423	NNTM_HUMAN	NNT	1086	Homo sapiens OX=9606	NAD(P) transhydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	12	0	12	9	0	9	9762575.0	0	9762575.0	14C(57.0214),3M(15.9949)		
sp|Q13435|SF3B2_HUMAN	Q13435	SF3B2_HUMAN	SF3B2	895	Homo sapiens OX=9606	Splicing factor 3B subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	5	0	5	8568292.0	0	8568292.0	5M(15.9949)		
sp|Q13442|HAP28_HUMAN	Q13442	HAP28_HUMAN	PDAP1	181	Homo sapiens OX=9606	28 kDa heat- and acid-stable phosphoprotein 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	3710385.8	3710385.8	3710385.8			
sp|Q13445|TMED1_HUMAN	Q13445	TMED1_HUMAN	TMED1	227	Homo sapiens OX=9606	Transmembrane emp24 domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	909299.06	909299.06	909299.06	2C(57.0214)		
sp|Q13451|FKBP5_HUMAN	Q13451	FKBP5_HUMAN	FKBP5	457	Homo sapiens OX=9606	Peptidyl-prolyl cis-trans isomerase FKBP5 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	6477042.0	6477042.0	6477042.0	4C(57.0214),6C(57.0214)		
sp|Q13492|PICAL_HUMAN	Q13492	PICAL_HUMAN	PICALM	652	Homo sapiens OX=9606	Phosphatidylinositol-binding clathrin assembly protein 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	4	0	4	6439967.0	0	6439967.0	8M(15.9949)		
sp|Q13501|SQSTM_HUMAN	Q13501	SQSTM_HUMAN	SQSTM1	440	Homo sapiens OX=9606	Sequestosome-1 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	964602.94	0	964602.94			tr|E7EMC7|E7EMC7_HUMAN, tr|E9PFW8|E9PFW8_HUMAN
sp|Q13510|ASAH1_HUMAN	Q13510	ASAH1_HUMAN	ASAH1	395	Homo sapiens OX=9606	Acid ceramidase 	1:Experimental evidence at protein level	1.0000	0.9892	1	0	1	1	0	1	0	0	0			tr|A0A1B0GTM3|A0A1B0GTM3_HUMAN, tr|A0A1B0GTP7|A0A1B0GTP7_HUMAN, tr|A0A1B0GTZ5|A0A1B0GTZ5_HUMAN, tr|A0A1B0GUA4|A0A1B0GUA4_HUMAN, tr|A0A1B0GUE3|A0A1B0GUE3_HUMAN, tr|A0A1B0GUG1|A0A1B0GUG1_HUMAN, tr|A0A1B0GUH5|A0A1B0GUH5_HUMAN, tr|A0A1B0GUW4|A0A1B0GUW4_HUMAN, tr|A0A1B0GV06|A0A1B0GV06_HUMAN, tr|A0A1B0GW68|A0A1B0GW68_HUMAN, tr|E7EMM4|E7EMM4_HUMAN
sp|Q13523|PRP4B_HUMAN	Q13523	PRP4B_HUMAN	PRPF4B	1007	Homo sapiens OX=9606	Serine/threonine-protein kinase PRP4 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	340262.03	0	340262.03			
sp|Q13526|PIN1_HUMAN	Q13526	PIN1_HUMAN	PIN1	163	Homo sapiens OX=9606	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	1334809.6	0	1334809.6			tr|K7EN45|K7EN45_HUMAN
sp|Q13547|HDAC1_HUMAN	Q13547	HDAC1_HUMAN	HDAC1	482	Homo sapiens OX=9606	Histone deacetylase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	1	2	0	1	1.3925776E7	0	899830.2			
sp|Q13561|DCTN2_HUMAN	Q13561	DCTN2_HUMAN	DCTN2	401	Homo sapiens OX=9606	Dynactin subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	7	5	0	5	5456131.0	0	5456131.0			
sp|Q13573|SNW1_HUMAN	Q13573	SNW1_HUMAN	SNW1	536	Homo sapiens OX=9606	SNW domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	804918.7	0	804918.7			tr|G3V3A4|G3V3A4_HUMAN, tr|G3V4X8|G3V4X8_HUMAN
sp|Q13595|TRA2A_HUMAN	Q13595	TRA2A_HUMAN	TRA2A	282	Homo sapiens OX=9606	Transformer-2 protein homolog alpha 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	1	1	1	1506564.9	1506564.9	1506564.9			
sp|Q13596|SNX1_HUMAN	Q13596	SNX1_HUMAN	SNX1	522	Homo sapiens OX=9606	Sorting nexin-1 	1:Experimental evidence at protein level	1.0000	0.9990	7	1	6	7	1	7	5682696.0	341623.03	5001145.0			
sp|Q13601|KRR1_HUMAN	Q13601	KRR1_HUMAN	KRR1	381	Homo sapiens OX=9606	KRR1 small subunit processome component homolog 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	1288057.4	1288057.4	1288057.4			
sp|Q13616|CUL1_HUMAN	Q13616	CUL1_HUMAN	CUL1	776	Homo sapiens OX=9606	Cullin-1 	1:Experimental evidence at protein level	1.0000	0.9989	3	0	3	2	0	2	1425531.6	0	1425531.6			tr|A0A590UJ21|A0A590UJ21_HUMAN, tr|A0A590UJ50|A0A590UJ50_HUMAN, tr|A0A590UJ56|A0A590UJ56_HUMAN, tr|A0A590UJR3|A0A590UJR3_HUMAN, tr|A0A590UK34|A0A590UK34_HUMAN
sp|Q13617|CUL2_HUMAN	Q13617	CUL2_HUMAN	CUL2	745	Homo sapiens OX=9606	Cullin-2 	1:Experimental evidence at protein level	1.0000	0.9985	2	0	2	2	0	2	276393.72	0	276393.72	2M(15.9949)		tr|A0A0A0MTN0|A0A0A0MTN0_HUMAN, tr|Q5T2B5|Q5T2B5_HUMAN
sp|Q13619|CUL4A_HUMAN	Q13619	CUL4A_HUMAN	CUL4A	759	Homo sapiens OX=9606	Cullin-4A 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	4	0	4	4006320.2	0	4006320.2	5C(57.0214)		
